station,network,code,band,rate,km,route,P,S,picks,fetched
IV.FRON,IV,FRON,EH,100.0,82.57779003514784,INGV,25,8,33,False
IV.MPAG,IV,MPAG,EH,100.0,93.28936292498958,INGV,24,3,27,False
IV.MTCE,IV,MTCE,HH,100.0,94.72699589008788,INGV,26,0,26,False
IV.ATPI,IV,ATPI,EH,100.0,89.77908844680648,INGV,23,1,24,False
IV.CERT,IV,CERT,HH,100.0,98.5195175698856,INGV,24,0,24,False
IV.TOLF,IV,TOLF,HH,100.0,124.67621928534672,INGV,24,0,24,False
IV.PIEI,IV,PIEI,HH,100.0,91.26747041286298,INGV,19,3,22,False
IV.ATTE,IV,ATTE,HH,100.0,73.85823105327323,INGV,20,0,20,False
IV.LPEL,IV,LPEL,HH,100.0,123.84905855592352,INGV,19,1,20,False
IV.GIUL,IV,GIUL,BH,20.0,141.90428676783048,INGV,18,0,18,False
IV.POFI,IV,POFI,HH,100.0,133.25289031006653,INGV,17,0,17,False
IV.ATVA,IV,ATVA,EH,100.0,83.53079916278853,INGV,15,0,15,False
IV.VVLD,IV,VVLD,HH,100.0,114.80787667763964,INGV,15,0,15,False
IV.CING,IV,CING,HH,100.0,61.05681913894093,INGV,11,3,14,False
IV.ATLO,IV,ATLO,EH,100.0,78.5362774435015,INGV,13,1,14,False
IV.ATMI,IV,ATMI,HH,100.0,88.42104806068005,INGV,13,0,13,False
IV.PTQR,IV,PTQR,HH,100.0,92.96028357835516,INGV,12,0,12,False
IV.LATE,IV,LATE,HH,100.0,109.35852559375056,INGV,10,0,10,False
IV.CRE,IV,CRE,HH,100.0,128.45674819818169,INGV,10,0,10,False
IV.PE3,IV,PE3,EH,100.0,108.35433007736532,INGV,9,0,9,False
IV.GUAR,IV,GUAR,HH,100.0,116.33235044804506,INGV,9,0,9,False
IV.RDP,IV,RDP,HH,100.0,123.3892072329922,INGV,9,0,9,False
IV.ATBU,IV,ATBU,EH,100.0,85.03412686119475,INGV,8,0,8,False
IV.SENI,IV,SENI,EH,100.0,97.82250630236072,INGV,8,0,8,False
IV.RCAV,IV,RCAV,EH,100.0,110.10602536110116,INGV,7,0,7,False
IV.RMP,IV,RMP,HH,100.0,117.99603253191832,INGV,7,0,7,False
IV.ATPC,IV,ATPC,HH,100.0,89.66657045230346,INGV,6,0,6,False
IV.APEC,IV,APEC,HH,100.0,98.43620382721706,INGV,6,0,6,False
TV.SF04,TV,SF04,EH,100.0,118.19669904050588,INGV,6,0,6,False
IV.LRP,IV,LRP,HH,100.0,137.2534369470657,INGV,6,0,6,False
IV.ATSC,IV,ATSC,EH,100.0,74.45648656090705,INGV,4,1,5,False
IV.ATMC,IV,ATMC,EH,100.0,101.20277371686632,INGV,4,0,4,False
IV.CAFR,IV,CAFR,HH,100.0,121.50830189546112,INGV,4,0,4,False
IV.LAV9,IV,LAV9,HH,100.0,132.50742403543308,INGV,4,0,4,False
IV.NARO,IV,NARO,HH,100.0,96.8385567886217,INGV,3,0,3,False
IV.SSP9,IV,SSP9,EH,100.0,114.59665279215211,INGV,3,0,3,False
TV.SF01,TV,SF01,EH,100.0,126.15904817423473,INGV,3,0,3,False
IV.BADI,IV,BADI,EH,100.0,103.14596462163934,INGV,2,0,2,False
IV.VIVA,IV,VIVA,HH,100.0,123.2704862905066,INGV,2,0,2,False
IV.SAMA,IV,SAMA,HH,100.0,124.21614373794796,INGV,2,0,2,False
IV.CPGN,IV,CPGN,EH,100.0,125.451354992971,INGV,2,0,2,False
IV.INTR,IV,INTR,HH,100.0,111.96190360840572,INGV,1,0,1,False
TV.SF03,TV,SF03,EH,100.0,116.21467292679544,INGV,1,0,1,False
TV.SF11,TV,SF11,HH,100.0,116.73526580305662,INGV,1,0,1,False
TV.SF13,TV,SF13,HH,100.0,121.5577805395796,INGV,1,0,1,False
TV.SF14,TV,SF14,HH,100.0,122.29517564869064,INGV,1,0,1,False
IV.MA9,IV,MA9,HH,100.0,123.58323461187962,INGV,1,0,1,False
IV.NRCA,IV,NRCA,HH,100.0,0.526344299084334,INGV,0,0,0,False
8P.T1245,8P,T1245,HH,100.0,7.008932837815668,INGV,0,0,0,False
8P.T1216,8P,T1216,EH,125.0,10.025579431666957,INGV,0,0,0,False
8P.T1212,8P,T1212,EH,125.0,10.223592983867716,INGV,0,0,0,False
8P.T1214,8P,T1214,EH,125.0,11.235214935753362,INGV,0,0,0,False
8P.T1213,8P,T1213,EH,125.0,11.754784302748645,INGV,0,0,0,False
8P.T1202,8P,T1202,EH,100.0,16.90267786336745,INGV,0,0,0,False
3A.MZ105,3A,MZ105,EH,200.0,17.221375168955028,INGV,0,0,0,False
8P.T1244,8P,T1244,EH,100.0,17.34088365479837,INGV,0,0,0,False
3A.MZ104,3A,MZ104,EH,200.0,17.53133821945936,INGV,0,0,0,False
8P.T1218,8P,T1218,EH,125.0,17.797402177177094,INGV,0,0,0,False
3A.MZ103,3A,MZ103,EH,200.0,18.385783733180254,INGV,0,0,0,False
8P.T1217,8P,T1217,EH,125.0,19.62391753715778,INGV,0,0,0,False
8P.T1215,8P,T1215,EH,125.0,19.94303914393967,INGV,0,0,0,False
8P.T1256,8P,T1256,HH,100.0,21.76220566176458,INGV,0,0,0,False
3A.MZ19,3A,MZ19,EH,100.0,22.446687735475663,INGV,0,0,0,False
3A.MZ21,3A,MZ21,EH,100.0,23.640185041935016,INGV,0,0,0,False
8P.T1204,8P,T1204,EH,100.0,24.041795841621273,INGV,0,0,0,False
3A.MZ24,3A,MZ24,EH,100.0,24.291941223189163,INGV,0,0,0,False
3A.MZ11,3A,MZ11,EH,100.0,24.60950778559298,INGV,0,0,0,False
IV.CESI,IV,CESI,HH,100.0,25.65012072816963,INGV,0,0,0,False
3A.MZ08,3A,MZ08,EH,100.0,26.267813902098993,INGV,0,0,0,False
8P.T1241,8P,T1241,EH,100.0,26.34643933846597,INGV,0,0,0,False
8P.T1219,8P,T1219,EH,125.0,26.5317077955058,INGV,0,0,0,False
3A.MZ29,3A,MZ29,EH,100.0,26.734496512586208,INGV,0,0,0,False
3A.MZ12,3A,MZ12,EH,100.0,26.922901519113932,INGV,0,0,0,False
3A.MZ30,3A,MZ30,EH,100.0,27.016201885881483,INGV,0,0,0,False
3A.MZ31,3A,MZ31,EH,100.0,27.16132725626351,INGV,0,0,0,False
3A.MZ10,3A,MZ10,EH,100.0,27.55774058358049,INGV,0,0,0,False
3A.MZ28,3A,MZ28,EH,100.0,28.272804842757115,INGV,0,0,0,False
3A.MZ26,3A,MZ26,EH,100.0,28.48025747048532,INGV,0,0,0,False
3A.MZ27,3A,MZ27,EH,100.0,28.59403819034278,INGV,0,0,0,False
3A.MZ25,3A,MZ25,EH,100.0,28.64594294361339,INGV,0,0,0,False
IV.SMA1,IV,SMA1,EH,100.0,28.821365633404007,INGV,0,0,0,False
3A.MZ14,3A,MZ14,EH,100.0,30.42245038257088,INGV,0,0,0,False
8P.T1220,8P,T1220,EH,125.0,31.20029693627062,INGV,0,0,0,False
8P.T1243,8P,T1243,HH,100.0,31.355362839257065,INGV,0,0,0,False
IV.MF5,IV,MF5,EH,100.0,33.450875844207644,INGV,0,0,0,False
IV.PF6,IV,PF6,EH,100.0,34.912375416614196,INGV,0,0,0,False
IV.SAP2,IV,SAP2,EH,100.0,37.85217566855619,INGV,0,0,0,False
8P.T1211,8P,T1211,EH,125.0,39.05882562808391,INGV,0,0,0,False
8P.T1246,8P,T1246,HH,100.0,41.610080931524664,INGV,0,0,0,False
IV.MOMA,IV,MOMA,HH,100.0,44.132860543440984,INGV,0,0,0,False
8P.T1247,8P,T1247,HH,100.0,45.855004665754485,INGV,0,0,0,False
IV.MNTT,IV,MNTT,EH,100.0,47.20114478165286,INGV,0,0,0,False
IV.T0104,IV,T0104,HH,100.0,55.50758026651198,INGV,0,0,0,False
IV.SSFR,IV,SSFR,HH,100.0,72.46833587407573,INGV,0,0,0,False
IV.COR1,IV,COR1,EH,100.0,89.59705458867322,INGV,0,0,0,False
VM.AMEN,VM,AMEN,HH,100.0,90.7411801763391,INGV,0,0,0,False
IV.PARC,IV,PARC,HH,100.0,115.18049850328283,INGV,0,0,0,False
EL.MCIV,EL,MCIV,HH,125.0,117.0797978260098,INGV,0,0,0,False
IV.PESA,IV,PESA,HH,100.0,125.4467339047284,INGV,0,0,0,False
IV.RSM2,IV,RSM2,HH,100.0,134.37209649455082,INGV,0,0,0,False
