key,weight,bin,mag_lo,mag_hi,n_reference,n_reference_covered,n_reference_outside_windows,n_matched,recovery,claim_supported
etna_2022_2024,quakescope2026,>= 5,5.0,inf,0,0,0,0,,False
corinth_thiva_2020,jma_wc,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
corinth_thiva_2020,jma_wc,"[1, 2)",1.0,2.0,819,15,804,13,0.8666666666666667,True
corinth_thiva_2020,jma_wc,"[2, 3)",2.0,3.0,183,6,177,6,1.0,True
corinth_thiva_2020,jma_wc,"[3, 4)",3.0,4.0,13,0,13,0,,False
corinth_thiva_2020,jma_wc,"[4, 5)",4.0,5.0,1,0,1,0,,False
corinth_thiva_2020,jma_wc,>= 5,5.0,inf,0,0,0,0,,False
corinth_thiva_2020,instance,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
corinth_thiva_2020,instance,"[1, 2)",1.0,2.0,819,15,804,15,1.0,True
corinth_thiva_2020,instance,"[2, 3)",2.0,3.0,183,6,177,6,1.0,True
corinth_thiva_2020,instance,"[3, 4)",3.0,4.0,13,0,13,0,,False
corinth_thiva_2020,instance,"[4, 5)",4.0,5.0,1,0,1,0,,False
corinth_thiva_2020,instance,>= 5,5.0,inf,0,0,0,0,,False
corinth_thiva_2020,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
corinth_thiva_2020,quakescope2026,"[1, 2)",1.0,2.0,819,15,804,13,0.8666666666666667,True
corinth_thiva_2020,quakescope2026,"[2, 3)",2.0,3.0,183,6,177,6,1.0,True
corinth_thiva_2020,quakescope2026,"[3, 4)",3.0,4.0,13,0,13,0,,False
corinth_thiva_2020,quakescope2026,"[4, 5)",4.0,5.0,1,0,1,0,,False
corinth_thiva_2020,quakescope2026,>= 5,5.0,inf,0,0,0,0,,False
