station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
MT.GAR,MT,GAR,EH,100.0,45.2429,5.7953,569.0,39.99970007768361,RESIF,0,0,0,False
MN.BNI,MN,BNI,HH,100.0,45.052,6.678,1395.0,40.474766347822886,INGV,0,0,0,False
MT.RES,MT,RES,EH,100.0,45.234997,5.779916,660.0,41.33603019406964,RESIF,0,0,0,False
MT.GUI,MT,GUI,EH,200.0,45.235683,5.768461,1190.0,42.20568219220406,RESIF,0,0,0,False
FR.OGS3,FR,OGS3,HH,200.0,45.06951,5.806072,1130.0,46.42370351658712,RESIF,0,0,0,False
FR.OGS2,FR,OGS2,HH,200.0,45.064487,5.801324,1015.0,47.04443230201557,RESIF,0,0,0,False
FR.OGS1,FR,OGS1,HH,200.0,45.06079,5.804671,722.0,47.05889438966202,RESIF,0,0,0,False
MT.AVM,MT,AVM,HH,125.0,44.9422,5.675,708.0,63.144193779969875,RESIF,0,0,0,False
MT.AVP,MT,AVP,HH,125.0,44.941426,5.672365,734.4,63.35924490298533,RESIF,0,0,0,False
MT.HAR2,MT,HAR2,HH,200.0,44.939439,5.67059,735.0,63.607223281102414,RESIF,0,0,0,False
MT.HAR1,MT,HAR1,HH,200.0,44.939935,5.66899,750.0,63.66987147771667,RESIF,0,0,0,False
MT.AVR,MT,AVR,HH,125.0,44.95068,5.653199,924.49,63.901013922985584,RESIF,0,0,0,False
MT.HAR3,MT,HAR3,HH,200.0,44.938438,5.666084,730.0,63.95232581612706,RESIF,0,0,0,False
1N.AIGH,1N,AIGH,HH,100.0,44.791983,6.875508,1924.0,72.35172680039535,RESIF,0,0,0,False
1N.AIGB,1N,AIGB,HH,100.0,44.7859,6.878186,1526.0,73.01319438735959,RESIF,0,0,0,False
XT.CI16,XT,CI16,HH,100.0,45.9248,6.61703,864.0,73.71761032772537,RESIF,0,0,0,False
XT.CI18,XT,CI18,HH,100.0,45.8997,6.76995,1146.0,76.04535911391515,RESIF,0,0,0,False
XT.CW01,XT,CW01,HH,100.0,45.4331,7.2591,1543.0,76.37070264777837,RESIF,0,0,0,False
XT.CI13,XT,CI13,HH,100.0,45.9936,6.25545,669.0,77.19908641745238,RESIF,0,0,0,False
XT.CI20,XT,CI20,HH,100.0,45.8203,6.96349,1503.0,77.55538218912135,RESIF,0,0,0,False
GU.BLANC,GU,BLANC,HH,100.0,45.8444,6.934,3279.0,78.09688700306918,eida,0,0,0,False
XT.CI22,XT,CI22,HH,100.0,45.6842,7.14151,1221.0,78.27562026928435,RESIF,0,0,0,False
XT.CI14,XT,CI14,HH,100.0,46.0036,6.3926,670.0,78.56362988258084,RESIF,0,0,0,False
FR.OGCE,FR,OGCE,EH,100.0,44.675625,6.772324,1789.0,78.73569873129301,RESIF,0,0,0,False
XT.CI17,XT,CI17,HH,100.0,45.9472,6.71795,1158.0,78.96086618447461,RESIF,0,0,0,False
IV.MRGE,IV,MRGE,HH,100.0,45.76975,7.06101,1660.0,79.00113135112736,INGV,0,0,0,False
XT.CI15,XT,CI15,HH,100.0,46.0051,6.53697,1111.0,80.53429965742421,RESIF,0,0,0,False
XT.CI21,XT,CI21,HH,100.0,45.724,7.13889,1740.0,80.59137409035951,RESIF,0,0,0,False
XT.CI24,XT,CI24,HH,100.0,45.65,7.253,1150.0,83.87769883891774,RESIF,0,0,0,False
XT.CI12,XT,CI12,HH,100.0,46.0532,6.17266,804.0,84.33056249447161,RESIF,0,0,0,False
XT.CI23,XT,CI23,HH,100.0,45.6783,7.23876,1362.0,84.40276018855481,RESIF,0,0,0,False
XT.CW02,XT,CW02,HH,100.0,45.4326,7.3747,890.0,85.2385436188093,RESIF,0,0,0,False
XT.CI19,XT,CI19,HH,100.0,45.9449,6.89867,1085.0,85.49325903926007,RESIF,0,0,0,False
XT.CI25,XT,CI25,HH,100.0,45.629,7.32435,1450.0,87.85898343194353,RESIF,0,0,0,False
CH.SAVIG,CH,SAVIG,HH,200.0,46.065923,5.973429,529.0,88.8607733373005,eida,0,0,0,False
XT.CI11,XT,CI11,HH,100.0,46.0867,6.03143,710.0,89.92561007067621,RESIF,0,0,0,False
4D.GDA02,4D,GDA02,EH,500.0,45.96294,6.97238,2400.0,90.3683440819472,eida,0,0,0,False
4D.GDA03,4D,GDA03,EH,500.0,45.96271,6.97496,2400.0,90.46376485799034,eida,0,0,0,False
4D.GDA01,4D,GDA01,EH,500.0,45.96437,6.97396,2400.0,90.5687147821598,eida,0,0,0,False
XT.CI26,XT,CI26,HH,100.0,45.5957,7.39072,1610.0,91.21380145451728,RESIF,0,0,0,False
XT.CI10,XT,CI10,HH,100.0,46.1051,5.91718,522.0,94.32554904061136,RESIF,0,0,0,False
XT.CW03,XT,CW03,HH,100.0,45.4075,7.5053,613.0,94.93222601779432,RESIF,0,0,0,False
FR.OG02,FR,OG02,HH,100.0,46.154234,6.220211,606.0,95.18395558463293,RESIF,0,0,0,False
XT.CI27,XT,CI27,HH,100.0,45.5964,7.48798,2566.0,98.35399488264768,RESIF,0,0,0,False
Z3.A194A,Z3,A194A,HH,100.0,44.3933,6.5023,1255.0,102.06947398301976,RESIF,0,0,0,False
Z3.A282A,Z3,A282A,HH,100.0,45.2545,7.6133,428.0,102.87832119306792,eida,0,0,0,False
XT.CW04,XT,CW04,HH,100.0,45.3673,7.6128,632.0,102.88506746040623,RESIF,0,0,0,False
XT.CI28,XT,CI28,HH,100.0,45.5559,7.57372,1560.0,103.3843877184136,RESIF,0,0,0,False
XT.CE01,XT,CE01,HH,100.0,45.8498,7.38204,1428.0,104.06287909562494,RESIF,0,0,0,False
FR.OGLC,FR,OGLC,HH,100.0,44.370302,6.074036,1135.0,104.89719589028302,RESIF,0,0,0,False
Z3.A217A,Z3,A217A,HH,100.0,44.3701,6.0733,1087.0,104.92920496216418,RESIF,0,0,0,False
C4.CERN1,C4,CERN1,HH,250.0,46.235876,6.054836,356.3,105.78303328604464,eida,0,0,0,False
XT.CI09,XT,CI09,HH,100.0,46.1933,5.81867,643.0,106.11485372441685,RESIF,0,0,0,False
CH.SALAN,CH,SALAN,HH,200.0,46.14415,6.97302,1881.3,107.42021394957573,eida,0,0,0,False
C4.CERNS,C4,CERNS,HH,250.0,46.266947,6.066212,463.2,109.0322683282074,eida,0,0,0,False
XT.CI08,XT,CI08,HH,100.0,46.1849,5.68425,780.0,109.37916541811424,RESIF,0,0,0,False
XT.CI29,XT,CI29,HH,100.0,45.5376,7.66307,1306.0,109.612489632527,RESIF,0,0,0,False
XT.CE02,XT,CE02,HH,100.0,45.8086,7.51826,1793.0,110.4291725171884,RESIF,0,0,0,False
